Name,Index Members,Current Market Cap,Cash and Marketable Securities,#N/A No results found,Short and Long Term Debt,Revenue,Gross Profit,EBITDA,Net Income Available to Common,Cash From Operations,Capital Expenditures,Free Cash Flow,Operating Income or Losses,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Total Equity,Cash from Investing Activities,Cash from Financing Activities,Estimate Comparable Sales,#N/A No results found,Cash and Cash Equivalents,Cost of Revenue,Total Operating Expenses,Comparable EBIT,#N/A No results found,Depreciation & Amortization,Comparable EBITDA,Interest Expense,Interest Income,Other Non-Operating (Income) Loss,Comparable PTP Excluding Stock Based Compensation,Income Tax Expense (Benefit),Estimate Comparable Net Income GAAP,#N/A No results found,#N/A No results found,EBIT,Pre-Tax Income,Estimate Comparable Net Income Adjusted,Preferred Equity and Hybrid Capital,Minority/Non Controlling Interest,Total Capital
Hologic Inc,HOLX UW,18872.65685,2339.5,0,2921.6,4862.8,2997.4,2098.9,1302,2125.7,-127.2,1998.5,1640.2,3862,9071.2,937.7,4195,4876.2,-206.3,-750.2,4862.8,1998.5,2339.5,1865.4,1357.2,1997.6,52,430.1,2103.7,95.1,12.9,-30.2,1934.1,286.2,1302,-206.3,-756,1640.2,1588.2,1527.9,0,0,7797.8
Honeywell International Inc,HON UW,147662.1351,7965,630,17947,34937,11300,7327,5375,5571,-806,4765,6132,22525,60287,18109,41950,18337,826,-10035,34937,5385,7449,23637,#VALUE!,7436,-851,1195,9528,350,109,-1074,7156,1595,5375,826,-9668,6132,6983,5708,0,630,36284
Hewlett Packard Enterprise Co,HPE UN,21405.50883,4163,45,12465,28496,9506,3262,868,4593,-3122,1471,782,20506,57123,23174,37214,19909,-2087,-2075,28496,1794,4163,18990,27714,3026,-94,2480,5506,188,0,-67,2018,8,868,-2087,-1796,782,876,2664,0,45,32374
HP Inc,HPQ UN,29936.73978,3145,0,11014,62983,12335,5456,3203,4463,-791,3672,4676,19801,38587,26153,41505,-2918,-3549,-2068,62983,3900,3145,50648,58307,5478,235,780,6030,#VALUE!,#VALUE!,235,4441,1238,3203,-3549,-2068,4676,4441,4289,0,0,8096
Hormel Foods Corp,HRL UN,25881.57255,998.256,0,3299.345,12458.806,2164.686,1575.36,999.987,1134.977,-277.694,857.283,1312.607,3637.125,13306.919,1473.266,5766.7,7540.219,-258.037,-508.364,12458.806,857.283,982.107,10294.12,#VALUE!,1312.607,34.504,262.753,1575.36,62.516,#VALUE!,-28.012,1278.103,277.877,999.987,-258.037,-486.685,1312.607,1278.103,999.987,0,#VALUE!,10839.564
Henry Schein Inc,HSIC UW,11295.17967,123,1197,1388,12606.522,3811.504,1121.855,638.233,624.639,-97.309,527.33,875.561,3957,8534,2146,3726,4808,-409.216,-211.591,12457.522,527.33,123,8795.018,#VALUE!,856.14,24.512,218.695,1075.835,35.189,10.702,0.025,855.628,198.361,638.233,-409.216,-199.484,875.561,851.049,648.667,0,1197,6196
Host Hotels & Resorts Inc,HST UW,13285.21574,883,170,4784,4642,#VALUE!,1339,806,1270,-159,1111,676,#VALUE!,12167,#VALUE!,5185,6982,172,-1547,4642,1111,883,#VALUE!,#VALUE!,703,-160,663,1376,176,0,-338,826,19,806,-1055,-1543,676,836,806,0,170,11766
Hershey Co/The,HSY UN,48044.69596,327.741,0,5213.852,10093.084,4366.846,2603.879,1584.077,2239.361,-510.95,1728.411,2193.313,2692.734,10832.907,3388.614,7749.827,3083.08,-1893.065,-682.637,10093.084,1728.411,327.741,5726.238,#VALUE!,2325.801,296.423,362.131,#VALUE!,133.801,2.069,164.691,1900.33,308.578,1584.077,-1893.065,-707.907,2193.313,1896.89,1694.516,0,0,8296.932
Humana Inc,HUM UN,69326.33105,26682,63,10834,91485,16939,4559,2807,9618,-1233,8385,3737,33711,50765,25051,34448,16317,-96,-268,91749,8385,13558,74546,87748,3124,158,822,3694,384,0,-226,4086,769,2807,-96,-268,3737,3579,2715.512,0,63,27151
Howmet Aerospace Inc,HWM UN,16159.59273,453,55,4282,5435,1504,1172,433,581,-209,372,846,2846,9929,1381,6656,3273,-143,-710,5435,356,453,3931,#VALUE!,928,310,265,1236,230,2,88,718,101,435,-143,-707,846,536,563,55,0,7555
International Business Machine,IBM UN,134416.4647,9569,71,53826,60533,32555,12267,1261,9014,-1387,7627,7221,28999,125850,30466,105703,20147,-3558,-5288,60534,7428,7816,27978,#VALUE!,10569,6508,5046,15698,1206,111,6494,9535,-661,1302,-3558,-4798,7221,713,8059,0,71,73973
Intercontinental Exchange Inc,ICE UN,61189.33222,1183,41,18387,7364,#VALUE!,4672,2548,3455,-449,3006,3654,173712,211292,166321,188872,22420,-4019,81284,7364,2302,1183,#VALUE!,3710,4402,301,1018,5826,542,43,-198,6521,766,3760,-4019,81327,3654,3353,2889,0,41,40807
IDEXX Laboratories Inc,IDXX UW,36194.32359,99.176,0,1419.849,3339.846,1975.832,1013.804,669.653,579.52,-131.397,448.123,871.429,1058.859,2640.067,1189.945,2164.068,475.999,-190.161,-435.386,3339.846,448.123,99.176,1364.014,#VALUE!,871.429,32.789,110.875,950.448,33.788,0.999,0,838.64,168.987,669.653,-190.161,-420.036,871.429,838.64,663.1105696,0,0,1895.848
IDEX Corp,IEX UN,18312.2455,680.7,-0.2,1299.1,3086,1395.4,890.184,575.7,553.171,-75.463,477.708,738.4,1635,4892.6,506.5,2090,2802.6,-298.331,-380.686,3086,692.961,680.7,1690.6,#VALUE!,738,-0.7,116.238,854.5,38.2,0,-38.9,751.7,163.7,575.7,-298.331,-308.649,738.4,739.1,583.8,0,-0.2,4101.7
International Flavors & Fragra,IFF UN,27520.62621,538,102,11421,12627,4263,116,-1755,500,-608,-108,-1258,6494,34537,3626,17548,16989,794,-1534,12596,-108,538,8364,#VALUE!,1170,248,1192,2543,305,#VALUE!,-57,1078,242,-1756,794,-1369,-1258,-1506,891,0,102,28410
Illumina Inc,ILMN UW,34469.14977,1107,0,2540,4698,3116,#VALUE!,-4153,#VALUE!,-269,#VALUE!,#VALUE!,2713,15217,1093,4477,6536,-489,#VALUE!,4698,#VALUE!,1000,1582,#VALUE!,748,72,#VALUE!,1017,#VALUE!,#VALUE!,#VALUE!,-85,70,-4153,-489,-85,#VALUE!,-4083,432,0,0,9076
Incyte Corp,INCY UW,18378.69855,2977.122,0,50.572,3330.788,3139.08,688.076,876.05,801.63,-91.023,710.607,620.081,3821.111,5510.214,1006.596,1283.563,4226.651,-123.677,13.567,3330.788,710.607,2690.622,191.708,2710.707,815.055,51.56,64.495,#VALUE!,2.751,0,48.809,822.564,-307.529,876.05,-123.677,10.691,620.081,568.521,505.58,0,0,4277.223
Intel Corp,INTC UW,120900.4653,28381,0,39523,69540,32375,21277,13301,13527,-26983,-13456,8455,49263,174841,27813,74956,99885,-12080,-4788,69540,4951,4529,37165,23920,12364,-5303,12822,28797,481,348,-5436,9561,457,13301,-12080,-4788,8455,13758,11650,0,0,139408
Intuit Inc,INTU UW,114488.3195,2724,0,7601,13316,10651,3390,1878,4072,-264,3808,2452,4554,27085,3325,11018,16067,-6473,1569,13316,3808,2125,2665,10864,4611,116,841,5125,123,16,9,3650,458,1878,-6473,1605,2452,2336,3412,0,0,23668
Invitation Homes Inc,INVH UN,19834.13661,300.312,31.223,8011.915,2178.51,#VALUE!,#VALUE!,357.882,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,18537.846,#VALUE!,8699.042,9828.965,#VALUE!,#VALUE!,2175.226,#VALUE!,300.312,#VALUE!,#VALUE!,661.409,#VALUE!,633.069,1287.865,304.804,#VALUE!,#VALUE!,#VALUE!,0,357.005,#VALUE!,#VALUE!,#VALUE!,358.808,355.812,0,31.223,17840.88
International Paper Co,IP UN,13202.47035,511,0,5774,21114,5980,2482,1929,1520,-810,710,1416,6622,24865,4805,15377,9488,-423,-4207,21114,710,511,15134,#VALUE!,1646,183,1066,2779,363,21,-159,1531,-389,1929,-423,-4196,1416,1233,1412,0,0,15262
Interpublic Group of Cos Inc/T,IPG UN,13101.05397,1768.3,61.6,4606.3,10874,9447.8,1670.9,998.7,808.2,-190.4,617.8,1393.9,8534.9,16875.2,8169.2,13409,3466.2,-196.4,-1333.6,9789.3,617.8,1768.3,1426.2,9480.1,1442.8,104.5,277,1667.2,163.3,45.8,-13,1310.3,276.6,998.7,-196.4,-1269.3,1393.9,1289.4,1022.2,0,61.6,8072.5
IQVIA Holdings Inc,IQV UN,40634.34563,1361,0,12653,14307,4968,2918,1182,2392,-687,1705,1883,4752,24223,5253,18876,5347,-2176,-412,14307,1705,1274,9339,#VALUE!,2554,419,1035,3254,378,9,-1,2402,271,1182,-2176,-274,1883,1464,1909,0,0,18000
Ingersoll Rand Inc,IR UN,22165.63585,1459.5,64.1,2791.4,5711.4,2180.6,1124.6,680.3,740.8,-84,656.8,684.8,3744.8,14225.6,1523,5410.6,8815,-262.3,-1052,5711.4,673.5,1459.5,3530.8,#VALUE!,920.6,63.6,439.8,1356.7,88.2,#VALUE!,-13.9,765.3,57,682.8,-262.3,-949.6,684.8,621.2,956.8,0,64.1,11606.4
Iron Mountain Inc,IRM UN,15968.92214,155.223,98.459,12986.183,4984.112,2855.895,2175.83,496.192,855.92,-788.907,67.013,998.075,1556.849,15694.716,1725.912,15067.056,627.66,-1457.288,595.152,4984.112,67.013,155.223,2128.217,3986.037,1023.324,424.804,727.837,1785.868,463.254,7.478,37.475,573.271,75.314,498.144,-1457.288,615.228,998.075,573.271,495.6,0,98.459,13613.843
Intuitive Surgical Inc,ISRG UW,96322.03483,4313.9,58.6,0,6117.9,4145.9,1995.5,1378,1620.6,-545.6,1075,1655,6293.1,13260.8,1233.4,1686.8,11574,155,-1583.4,6117.9,1075,1538,1972,2490.9,2206.9,-11.3,340.5,2385.7,#VALUE!,#VALUE!,0,2083.9,275.9,1378,155,-1590.2,1655,1666.3,1652.1,0,58.6,11574
Gartner Inc,IT UN,27870.31776,528.687,0,3174,5277.429,3659.424,1223.884,760.385,1133.017,-91.64,1041.377,953.187,1980.255,6525.954,3085.893,6590.88,-64.926,-93.399,-1280.593,5301,1042.2,528.687,1618.005,4324.242,1114.1,53.015,194.949,1357,#VALUE!,#VALUE!,-69.884,836.2,139.787,761.8,-93.399,-1226.72,953.187,900.172,868,0,0,3109.074
Illinois Tool Works Inc,ITW UN,70370.25626,774,1,7628,15640,6329,4053,2736,2311,-335,1976,3638,6196,15226,4392,12212,3014,-1045,-2479,15640,1307,774,9311,#VALUE!,3638,125,415,#VALUE!,196,#VALUE!,-71,3513,777,2736,-1045,-2382,3638,3513,2736,0,1,10642
Invesco Ltd,IVZ UN,8727.31687,1023.6,5599.8,8113.3,6368.9,#VALUE!,1808.5,922.9,236,-155.4,80.6,1611.4,#VALUE!,29271.9,#VALUE!,12845.9,16503.5,-506.5,-813,6368.9,80.6,1023.6,#VALUE!,4787.1,1853.4,#VALUE!,197.1,#VALUE!,#VALUE!,0,177.6,1774.4,363.3,922.9,-506.5,-695.7,1611.4,1545.1,995.1,4000,1599.8,24616.8
Jacobs Solutions Inc,J UN,15915.3403,1140.479,676.858,4165.289,14922.825,3327.04,1354.833,644.039,474.709,-127.615,347.094,917.85,4721.994,14660.419,3250.845,7923.505,6736.914,-538.419,191.342,14922.825,347.094,1140.479,11595.785,#VALUE!,917.85,41.503,301.056,1218.906,100.246,4.489,-54.254,876.347,160.903,644.039,-538.419,320.234,917.85,876.347,897.164,0,676.858,10902.203
JB Hunt Transport Services Inc,JBHT UW,19006.3655,84.334,0,1243.814,14661.348,1929.458,1986.276,1010.258,1609.455,-1462.727,146.728,1372.108,2152.416,7431.559,1500.724,3926.45,3505.109,-1501.993,-552.723,14661.348,146.728,84.334,12731.89,13289.24,1372.108,48.687,614.168,1986.276,#VALUE!,#VALUE!,0,1323.421,313.163,1010.257,-1501.993,-552.723,1372.108,1323.421,1010.257,0,0,4748.923
Johnson Controls International,JCI UN,47046.0849,2031,1134,10227,25299,8343,2859,1532,1986,-592,1394,1677,11685,42158,11239,24756,17402,-693,-569,25299,1398,2031,16956,#VALUE!,2876,-33,830,6971,213,6,39,1710,-13,1618,-693,-516,1677,1710,1532,0,1134,27629
Jack Henry & Associates Inc,JKHY UW,14004.83184,31.97,0,296.014,1984.03,833.79,670.629,367.352,534.913,-33.123,501.79,481.746,485.097,2578.46,470.331,1117.322,1461.138,-399.487,-147.707,1978.808,501.79,31.97,1150.24,1502.284,430.011,3.533,179.061,608.618,3.711,0.178,0,478.213,110.861,367.351,-399.487,-147.707,481.746,478.213,367.352,0,0,1757.152
Johnson & Johnson,JNJ UN,467182.0821,34079,0,32027,96041,64762,30304,19157,21576,-3837,17739,23263,65236,175124,45543,100525,74599,-13334,-14491,96041,17739,11355,31279,#VALUE!,30917,903,7041,#VALUE!,159,249,993,30801,3203,19157,-13334,-14007,23263,22360,26498,0,0,106626
Juniper Networks Inc,JNPR UN,10687.61347,1057.1,0,1719,5152.3,2881.7,693,423.5,94,-103.9,-9.9,469.5,3208.7,8976.2,1896.7,4638.1,4338.1,346.8,-624,5152.3,-9.9,830.9,2270.6,2412.2,796.1,-23.1,223.5,982.8,53.4,15.8,-60.7,708.4,66.5,423.5,346.8,-586.1,469.5,492.6,613.5,0,0,6057.1
JPMorgan Chase & Co,JPM UN,395718.6822,1139281,32838,728766,138058,#VALUE!,#VALUE!,35222,90992,0,90992,45586,#VALUE!,3773884,#VALUE!,3485866,288018,-186447,-20227,127060,90992,24654,#VALUE!,#VALUE!,#VALUE!,#VALUE!,7311,#VALUE!,#VALUE!,54891,0,45586,8519,35676,-186447,14065,#VALUE!,45586,35222,32838,0,1016784
Kellogg Co,K UN,25152.41934,373,455,7276,14903,4461,2101,1491,1736,-495,1241,1629,4444,19016,6033,14278,4738,-455,-1348,14903,1241,373,10442,#VALUE!,1815,-270,472,2287,200,0,-470,1685,412,1491,-455,-1231,1629,1899,1491,0,455,12014
Keurig Dr Pepper Inc,KDP UW,55085.09523,925,-1,13156,13645,7099,3501,1826,3039,-358,2681,2657,4325,51440,7233,26339,25101,347,-2661,13645,2864,925,6546,#VALUE!,3421,387,715,3789,689,0,-302,2982,445,1826,347,-2647,2657,2270,2324,0,-1,38257
KeyCorp,KEY UN,17306.58524,717,2500,27057,7776,#VALUE!,#VALUE!,2046,2874,-95,2779,2631,#VALUE!,190051,#VALUE!,176761,13290,-9350,6430,7321,2779,717,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3813,0,2446,487,2042,-9350,6430,#VALUE!,2631,2042,2500,0,40347
Keysight Technologies Inc,KEYS UN,32229.95956,2042,0,2018,5420,3450,1557,1124,1144,-185,959,1334,4234,8098,1407,3937,4161,-251,-904,5525,959,2042,1970,4086,1334,49,223,1821,79,16,-14,1549,161,1124,-251,-861,1334,1285,1388,0,0,6179
Kraft Heinz Co/The,KHC UW,48801.21792,997,195,20070,25813,7920,3306,1216,4433,-882,3551,2388,7860,89992,8686,41649,48343,256,-5965,25813,3551,997,17893,5532,4275,993,918,5866,1308,0,-315,3512,169,1216,256,-5822,2388,1395,3007.65,0,195,68413
Kimco Realty Corp,KIM UN,14057.61436,123.531,635.922,7325.044,1712.504,#VALUE!,1066.967,231.771,907.361,-358.94,548.421,539.488,#VALUE!,17915.569,#VALUE!,8062.451,9853.118,-338.098,-929.203,1712.504,548.421,123.531,#VALUE!,#VALUE!,542.432,296.549,513.957,1125.528,223.355,0,197.937,89.898,-0.613,244.728,-338.098,-929.203,539.488,242.939,251.082,485.868,150.054,17178.162
KLA Corp,KLAC UW,55389.19041,2953.52,0,6423.239,9852.469,6032.426,4363.442,3279.381,3460.45,-322.717,3137.733,3946.084,7643.939,13123.652,3139.364,11021.578,2102.074,-754.627,-2396.107,9852.469,3137.733,1819.28,3820.043,#VALUE!,4331.817,153.167,380.458,4510.579,196.422,0,-43.255,3911.124,513.277,3279.809,-754.627,-2353.702,3946.084,3792.917,3499.96,0,0,8525.313
Kimberly-Clark Corp,KMB UN,46536.78464,362,146,8587,20176,6028,3252,1784,2804,-952,1852,2490,5625,17836,7197,16993,843,-837,-1891,20176,1852,362,14148,#VALUE!,2571,325,762,3333,270,9,64,2229,449,1784,-837,-1864,2490,2165,1824,0,146,9430
Kinder Morgan Inc,KMI UN,42763.29204,483,1379,31741,19046,4531,6036,2507,4999,-1531,3468,3911,3819,69992,6148,37857,32135,-2107,-2448,19046,3468,483,14515,15135,3869,692,2125,7363,1457,0,-2,3176,633,2515,-1939,-2448,3911,3219,2537,0,1379,63876
CarMax Inc,KMX UN,10986.8169,56.772,-16094.593,19454.166,33670.878,3160.085,1535.208,807.444,-684.54,-375.159,-1059.699,1164.907,5872.459,26470.543,2132.189,21056.316,5414.227,-350.824,1013.462,33670.878,-1059.699,56.772,30510.793,#VALUE!,1220.555,103.522,281.791,1331.876,112.671,0,-9.149,#VALUE!,253.941,807.444,-350.824,1013.462,1164.907,1061.385,807.479,0,0,24868.393
Coca-Cola Co/The,KO UN,278714.8667,13220,1631,39587,42343,24768,11800,9925,11462,-1415,10047,10506,24139,92471,21439,68035,24436,-6873,-5768,42372,10047,10127,17575,#VALUE!,12117,-1640,1294,13411,743,377,-571,13370,2181,9925,-6873,-5273,10506,12146,10803,0,1631,64023
Kroger Co/The,KR UN,34179.75173,241,-23,20254,146484,31532,8754,2359,7164,-4297,2867,4265,13403,49987,17738,40058,19825,-4232,-5023,146484,2867,241,114952,#VALUE!,4406,1271,4489,7466,556,#VALUE!,715,3001,627,2359,-4232,-5023,4265,2994,2653,0,-23,40079
Loews Corp,L UN,13675.79783,886,807,9289,13912,#VALUE!,#VALUE!,991,3365,-592,2773,1648,#VALUE!,75111,#VALUE!,60458,14653,-2542,-1022,#VALUE!,2773,886,#VALUE!,12548,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,278,#VALUE!,-2542,-997,1648,1364,#VALUE!,0,807,23942
Leidos Holdings Inc,LDOS UN,15130.1674,807,53,5593,14190,2071,1423,682,1091,-109,982,1093,3841,13099,4141,8960,4139,-92,-799,14190,982,807,12119,#VALUE!,1158,203,330,1828,194,0,9,955,201,682,-92,-799,1093,890,780,0,53,9732
Lennar Corp,LEN UN,25149.64446,1309.364,150.26,4218.103,31930.203,9046.475,6817.724,4429.52,1771.879,-52.747,1719.132,6667.237,24849.92,35339.877,3214.51,12212.339,23127.538,-105.385,-2927.154,31930.203,1719.132,1309.364,22883.728,23972.283,6520.875,830.589,78.03,#VALUE!,20.243,#VALUE!,745.254,6231.913,1338.431,4482.172,-105.385,-2927.154,6667.237,5836.648,4830.956,0,150.26,27345.641
Laboratory Corp of America Hol,LH UN,21407.53157,409.9,18.9,6271.1,15258.7,4790.3,3079.5,1756,1999.8,-514,1485.8,2413.8,4371.8,19826,2522.3,9714.9,10111.1,-1633.4,-1993,15258.7,1486.2,409.9,10468.4,#VALUE!,2941.4,189.7,665.7,3382.6,174.1,0,36.8,2481.4,466.3,1756,-1633.4,-1958.2,2413.8,2224.1,2108.2,0,18.9,16382.2
L3Harris Technologies Inc,LHX UN,43779.31326,529,102,7777,16834,4930,2103,1130,2198,-316,1882,1162,6431,33381,5853,14942,18439,-194,-2601,16834,1882,529,11904,#VALUE!,2843,-166,941,3742,272,0,-438,2758,200,1128,-194,-2566,1162,1328,2515,0,102,26216
Linde PLC,LIN UN,167227.5611,3756,1311,15338,33763,13813,9402,3845,10002,-3076,6926,5019,11203,74323,15061,35384,38939,-3083,-7863,33806,6926,3756,19950,#VALUE!,6934,-165,4383,10745,63,0,-228,7878,1385,3843,-3083,-7696,5019,5184,6052,0,1311,54277
LKQ Corp,LKQ UW,14740.04343,269,39,3687,12978.993,5269.62,1836.409,1191.281,1015.019,-308.761,706.258,1568.096,4202,11666,2351,6365,5301,26.084,-1174.672,12978.993,706.258,269,7709.373,#VALUE!,1591.522,51.312,268.313,1703.822,#VALUE!,#VALUE!,-10.096,1516.784,344.563,1191.281,26.084,-1136.324,1568.096,1516.784,1113.852,0,39,8988
Eli Lilly & Co,LLY UN,354634.9081,2742.1,95.8,15888.4,29239.5,22107.6,8801.3,6033.2,7661.2,-1645,6016.2,7208.1,17639.9,47461.5,15652.8,37295.6,10165.9,-2780.1,-6051.9,29239.5,6016.2,2617.4,7131.9,#VALUE!,8802.2,658.2,1593.2,#VALUE!,329,44.7,-293.7,8563.1,516.7,6033.2,-2780.1,-5791.8,7208.1,6549.9,7561.1,0,95.8,26054.3
Lockheed Martin Corp,LMT UN,130235.0358,2430,0,11480,64722,8407,9840,5869,10142,-1584,8558,8510,20960,52030,16347,40064,11966,-1523,-8916,64722,8558,2430,56315,#VALUE!,8510,1530,1330,9537,567,0,963,7039,1111,5869,-1523,-8916,8510,6980,7290,0,0,23446
Lincoln National Corp,LNC UN,6555.407359,1472,0,6459,19193,#VALUE!,#VALUE!,-2014,#VALUE!,#VALUE!,#VALUE!,-2268,#VALUE!,324683,#VALUE!,322466,2217,#VALUE!,#VALUE!,18758,#VALUE!,1472,#VALUE!,21732,#VALUE!,#VALUE!,#VALUE!,#VALUE!,271,#VALUE!,0,#VALUE!,-527,-2020,#VALUE!,#VALUE!,-2268,-2539,-764,0,0,8676
Alliant Energy Corp,LNT UW,13803.69085,344,0,8611,4073,2363,1565,666,590,-1279,-689,901,1693,20205,2422,13940,6265,-875,608,4073,-689,344,1710,3172,901,210,664,1565,263,#VALUE!,-53,691,18,673,-875,608,901,691,666,0,0,14876
Lowe's Cos Inc,LOW UN,130573.4226,3656,0,38212,95953,32028,12307,6666,9072,-1687,7385,10304,24991,46973,20876,59841,-12868,-1401,-10600,95953,7385,3192,63925,#VALUE!,12674.12658,1037,2003,14456.12658,1064,27,0,11872.56962,2582,6685,-1401,-10557,10304,9267,9055.126582,0,0,25344
Lam Research Corp,LRCX UW,62666.30489,4377.05,0,5003.473,17996.695,8231.888,6037.045,4851.421,3831.738,-549.67,3282.068,5707.429,13612.664,18721.282,5053.382,11308.715,7412.567,-112.221,-3505.662,17997.091,3282.068,4256.499,9764.807,2524.459,5713.111,202.946,329.616,6042.727,185.755,25.587,47.431,5524.02,653.062,4851.421,-112.221,-3462.286,5707.429,5504.483,4894.451,0,0,12416.04
Lumen Technologies Inc,LUMN UN,5685.032604,252,0,26030,18525,10397,7860,2029,5501,-3031,2470,4540,9382,54817,8715,42240,12577,-169,-5771,18525,4272,252,8128,13985,4601,1670,3320,8061,1424,0,246,1613,841,2029,-169,-5771,4540,2870,1661,0,0,38607
Southwest Airlines Co,LUV UN,23643.20462,13673,0,10112,22693,#VALUE!,2903,827,3458,-2749,709,1597,16418,35946,10416,25022,10924,-2996,-2999,22693,709,10443,#VALUE!,21096,1657,506,1306,2965,355,108,259,1257,264,847,-2996,-2999,1597,1091,1035,0,0,21036
Las Vegas Sands Corp,LVS UN,36848.09799,5836,-119,15293,4001,1445,282,1878,-738,-692,-1430,-764,6207,21469,3391,17688,3781,-793,5941,4001,-1430,5836,2556,4765,-733,637,1046,496,653,57,41,-1291,186,-1176,-793,5973,-764,-1401,-945,0,-119,19074
Lamb Weston Holdings Inc,LW UN,12606.80525,485.3,0,2741.4,4240.3,954,735.8,403,448.4,-312.4,136,541.2,1630.2,4409.7,780.3,3899.7,510,-398.6,-354.2,4240.3,136,485.3,3286.3,#VALUE!,541.2,159.1,194.6,830.1,#VALUE!,#VALUE!,#VALUE!,382.1,136.8,403,-398.6,-351.1,541.2,382.1,382.6,0,0,3251.4
LyondellBasell Industries NV,LYB UN,27665.05153,1480,128,12830,53075,7650,6835,4255,7594,-2091,5503,5525,12328,36491,7634,24172,12319,-2138,-5868,53075,5503,1480,45425,#VALUE!,6323,272,1310,7681,355,14,27,#VALUE!,983,4218,-2138,-5687,5525,5253,4388,0,128,25149
Live Nation Entertainment Inc,LYV UN,17080.49422,4951.161,1072.097,7570.705,15093.687,4038.803,1411.407,190.346,1684.228,-265.998,1418.23,727.462,7927.389,15787.014,7634.487,14789.477,997.537,-814.931,-546.303,15093.709,1841.3021,4951.161,11054.884,#VALUE!,773.694,245.096,421.008,1261.056,278.016,49.237,6.189,447.081,68.013,252.821,-814.931,-226.208,727.462,482.366,308.735,0,1072.097,8568.242
Mastercard Inc,MA UN,346760.086,8045,82,14534,21636,#VALUE!,12662,9784,11284,-434,10850,11907,16823,37612,13476,31169,6443,-1558,-8791,21605,10850,7633,#VALUE!,9729,12312,441,755,13038,452,14,-18,11631,1682,9784,-1558,-8331,11907,11466,10099,0,82,20977
Mid-America Apartment Communit,MAA UN,19044.4696,38.996,247.5473,4548.303,1955.476,#VALUE!,1124.9,625.768,1024.032,-580.587,443.445,583.751,#VALUE!,11338.227,#VALUE!,5166.327,6171.9,-398.544,-613.455,1955.476,443.445,38.996,#VALUE!,#VALUE!,589.644,-65.045,541.149,1129.9,155.771,0,-219.391,647.371,2.04,627.612,#VALUE!,-613.455,583.751,648.796,627.612,43.3923,204.155,10720.203
Marriott International Inc/MD,MAR UW,52387.30595,1045,0,10425,19296,4181,3386,2153,2354,-261,2093,3101,3684,24763,7112,23700,1063,-243,-1840,19296,2093,1045,15115,16195,2855,330,285,3504,385,24,-13,2714,618,2153,-243,-1840,3101,2771,1987,0,0,11488
Masco Corp,MAS UN,11569.64384,464,201,3604,8779,2787,1472,863,855,-183,672,1330,3264,5417,2224,5833,-416,-199,-1046,8779,672,464,5992,#VALUE!,1386,104,142,1526,107,0,-15,1248,307,861,-199,-1005,1330,1226,885,0,201,3188
McDonald's Corp,MCD UN,200105.5253,2828.3,0,47287.9,23265.2,13302.9,11074.5,5912.8,7851.8,-2057.5,5794.3,9185.4,5740.8,48501.6,3486.1,55067.8,-6566.2,-2729.5,-6599.8,23265.2,5794.3,2828.3,9962.3,14079.8,9185.4,1591.1,1889.1,10042.5,1179.7,20.7,664,7594.3,1681.5,5912.8,-2729.5,-6161.2,9185.4,7594.3,7220.7,0,0,40721.7
Microchip Technology Inc,MCHP UW,42482.67159,306.8,0,7335.6,7638.5,5081.5,3625.9,1844.1,3234.7,-437.5,2797.2,2520.9,2676,16141.1,2538.4,10038,6103.1,-553.6,-2629.6,7638.5,2797.2,304.8,2557,2560.6,3475.7,254.5,1105,#VALUE!,211.2,0.4,43.7,3130.4,422.3,1844.1,-553.6,-2629.6,2520.9,2266.4,2709.665,0,0,13438.7
McKesson Corp,MCK UN,54929.37829,2916,518,7212,272027,12864,3737,2055,4430,-359,4071,3091,46448,63081,48357,64330,-1249,184,-4119,272027,3952,2916,259163,9773,4688,-83,646,#VALUE!,184,0,-267,4167,948,2061,184,-4180,3091,3174,3539,0,518,5963
Moody's Corp,MCO UN,55570.05354,1745,175,6744,5717,#VALUE!,2509,1555,1396,-266,1130,2091,3726,13939,2066,11509,2430,-630,-1349,5717,1130,1656,#VALUE!,3626,2275,142,319,2518,239,11,-147,1949,394,1555,-630,-1214,2091,1949,1723,0,175,9174
Mondelez International Inc,MDLZ UW,93244.43006,2177,29,22187,30459,11070,4999,3137,3937,-1140,2797,3904,9910,68036,14321,41366,26670,-3542,-1608,30459,2797,2177,19389,#VALUE!,4795,305,1095,5819,332,0,-27,4501,833,3137,-3542,-1395,3904,3599,3935,0,29,48857
Medtronic PLC,MDT UN,105642.8914,11430,177,26617,30808,20707,8556,4321,6290,-1468,4822,5857,25398,93241,14465,41184,52057,-2897,-1464,30808,4822,4828,10101,#VALUE!,8368,228,2699,9894,562,239,-95,7667,1287,4321,-2897,-1061,5857,5629,7111,0,177,78674
